genre,word,number,senti,n
Jazz,like,4,positive,59
Jazz,like,5,positive,62
Jazz,lost,1,negative,7
Jazz,lost,2,negative,8
Jazz,lost,3,negative,15
Jazz,lost,4,negative,13
Jazz,lost,5,negative,12
Jazz,love,1,positive,133
Jazz,love,2,positive,155
Jazz,love,3,positive,136
Jazz,love,4,positive,149
Jazz,love,5,positive,217
Jazz,no,1,negative,58
Jazz,no,2,negative,76
Jazz,no,3,negative,56
Jazz,no,4,negative,71
Jazz,no,5,negative,66
Jazz,want,1,positive,28
Jazz,want,2,positive,46
Jazz,want,3,positive,34
Jazz,want,4,positive,32
Jazz,want,5,positive,44
Jazz,wrong,1,negative,8
Jazz,wrong,2,negative,6
Jazz,wrong,3,negative,9
Jazz,wrong,4,negative,12
Jazz,wrong,5,negative,9
Metal,alone,1,negative,37
Metal,alone,2,negative,35
Metal,alone,3,negative,34
Metal,alone,4,negative,53
Metal,alone,5,negative,42
Metal,bad,1,negative,13
Metal,bad,2,negative,9
Metal,bad,3,negative,20
Metal,bad,4,negative,11
Metal,bad,5,negative,14
Metal,good,1,positive,18
Metal,good,2,positive,25
Metal,good,3,positive,31
Metal,good,4,positive,26
Metal,good,5,positive,28
Metal,happy,1,positive,6
Metal,happy,2,positive,3
Metal,happy,3,positive,3
Metal,happy,4,positive,9
Metal,happy,5,positive,6
Metal,like,1,positive,173
Metal,like,2,positive,156
Metal,like,3,positive,140
Metal,like,4,positive,133
Metal,like,5,positive,152
Metal,lost,1,negative,46
Metal,lost,2,negative,42
Metal,lost,3,negative,39
Metal,lost,4,negative,45
Metal,lost,5,negative,46
Metal,love,1,positive,82
Metal,love,2,positive,124
Metal,love,3,positive,109
Metal,love,4,positive,103
Metal,love,5,positive,140
Metal,no,1,negative,207
Metal,no,2,negative,234
Metal,no,3,negative,240
Metal,no,4,negative,241
Metal,no,5,negative,277
Metal,want,1,positive,70
Metal,want,2,positive,86
Metal,want,3,positive,87
Metal,want,4,positive,83
Metal,want,5,positive,85
Metal,wrong,1,negative,23
Metal,wrong,2,negative,25
Metal,wrong,3,negative,24
Metal,wrong,4,negative,33
Metal,wrong,5,negative,26
Pop,alone,1,negative,85
Pop,alone,2,negative,67
Pop,alone,3,negative,73
Pop,alone,4,negative,80
Pop,alone,5,negative,86
Pop,bad,1,negative,52
Pop,bad,2,negative,63
Pop,bad,3,negative,59
Pop,bad,4,negative,63
Pop,bad,5,negative,72
Pop,good,1,positive,140
Pop,good,2,positive,157
Pop,good,3,positive,149
Pop,good,4,positive,157
Pop,good,5,positive,160
Pop,happy,1,positive,31
Pop,happy,2,positive,45
Pop,happy,3,positive,29
Pop,happy,4,positive,54
Pop,happy,5,positive,51
Pop,like,1,positive,561
Pop,like,2,positive,523
Pop,like,3,positive,531
Pop,like,4,positive,509
Pop,like,5,positive,473
Pop,lost,1,negative,63
Pop,lost,2,negative,49
Pop,lost,3,negative,59
Pop,lost,4,negative,58
Pop,lost,5,negative,50
Pop,love,1,positive,722
Pop,love,2,positive,875
Pop,love,3,positive,878
Pop,love,4,positive,951
Pop,love,5,positive,1215
Pop,no,1,negative,419
Pop,no,2,negative,542
Pop,no,3,negative,527
Pop,no,4,negative,580
Pop,no,5,negative,578
Pop,want,1,positive,299
Pop,want,2,positive,383
Pop,want,3,positive,365
Pop,want,4,positive,380
